E-bmrs-system-price-none
2017-01-05
HDR,INDICATIVE SYSTEM PRICE STACK DATA
BID,20170105,24,43,T_MRWD-1,70329,-2,F,F,F,F,NULL,38.50000,-7.333,-7.333,-7.333,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,44,T_MRWD-1,70332,-2,F,F,F,F,NULL,38.50000,-0.035,-0.035,-0.035,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,45,T_MRWD-1,70328,-2,F,F,F,F,NULL,38.50000,-5.087,-5.087,-5.087,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,46,T_WBURB-2,31561,-1,F,F,F,F,NULL,38.00000,-15.633,-15.633,-15.633,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,47,T_WBURB-2,31562,-2,F,F,F,F,NULL,38.00000,-7.000,-7.000,-7.000,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,48,T_WBURB-2,31560,-2,F,F,F,F,NULL,38.00000,-1.667,-1.667,-1.667,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,49,T_WBURB-2,31562,-1,F,F,F,F,NULL,38.00000,-11.870,-11.870,-11.870,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,50,T_WBURB-2,31561,-2,F,F,F,F,NULL,38.00000,-8.167,-8.167,-8.167,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,51,T_WBURB-2,31560,-1,F,F,F,F,NULL,38.00000,-5.983,-5.983,-5.983,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,52,T_HUMR-1,108581,-2,F,F,F,F,NULL,34.05000,-1.726,-1.726,-1.726,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,53,T_HUMR-1,108581,-1,F,F,F,F,NULL,34.05000,-0.466,-0.466,-0.466,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,54,T_HUMR-1,108582,-2,F,F,F,F,NULL,34.05000,-0.200,-0.200,-0.200,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,55,T_HUMR-1,108585,-1,F,F,F,F,NULL,34.05000,-0.800,-0.800,-0.800,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,56,T_HUMR-1,108585,-2,F,F,F,F,NULL,34.05000,-18.800,-18.800,-18.800,0.000,0.000,0.00000,0.0000000,0.000,0.00
