E-bmrs-system-demand-none
2017-01-05
HDR,SYSTEM DEMAND
ITSDO,20170101,20,27914.0
TSDF,20170101,20,28621.0
ITSDO,20170101,21,29441.0
TSDF,20170101,21,30400.0
ITSDO,20170101,22,30671.0
TSDF,20170101,22,31572.0
TSDF,20170101,23,32210.0
ITSDO,20170101,23,31843.0
ITSDO,20170101,24,32692.0
TSDF,20170101,24,33093.0
ITSDO,20170101,25,33683.0
TSDF,20170101,25,33918.0
TSDF,20170101,26,33514.0
ITSDO,20170101,26,34057.0
ITSDO,20170101,27,34117.0
TSDF,20170101,27,33676.0
ITSDO,20170101,28,34037.0
TSDF,20170101,28,33666.0
ITSDO,20170101,29,34155.0
TSDF,20170101,29,33619.0
ITSDO,20170101,30,34274.0
TSDF,20170101,30,33772.0
TSDF,20170101,31,34145.0
ITSDO,20170101,31,34645.0
FTR,350
